#See manifest.txt for detailed description of fields.
#Hirise_scaf_id	input_scaf_id	input_start	input_end	strand	hirise_start	hirise_end
ScXIYn4_571;HRSCAF=920	000059F|arrow|arrow	7601748	16698242	-	53052	9149546
ScXIYn4_497;HRSCAF=801	000062F|arrow|arrow	0	2540499	+	13176521	15717020
ScXIYn4_748;HRSCAF=1171	000062F|arrow|arrow	2540499	15869621	-	0	13329122
ScXIYn4_696;HRSCAF=1119	000063F|arrow|arrow	0	6652625	+	88884412	95537037
ScXIYn4_695;HRSCAF=1118	000063F|arrow|arrow	6652625	15847724	+	0	9195099
ScXIYn4_46;HRSCAF=72	000066F|arrow|arrow	0	13093144	+	147949	13241093
ScXIYn4_650;HRSCAF=1073	000066F|arrow|arrow	13093144	14939661	+	0	1846517
ScXIYn4_708;HRSCAF=1131	000072F|arrow|arrow	0	2100649	+	83678	2184327
ScXIYn4_707;HRSCAF=1130	000072F|arrow|arrow	2100649	13705557	+	64319	11669227
ScXIYn4_669;HRSCAF=1092	000078F|arrow|arrow	0	6240841	+	2244434	8485275
ScXIYn4_305;HRSCAF=499	000078F|arrow|arrow	6240841	8253477	-	75694	2088330
ScXIYn4_625;HRSCAF=1034	000078F|arrow|arrow	8253477	12912004	+	0	4658527
ScXIYn4_675;HRSCAF=1098	000080F|arrow|arrow	0	7678722	-	0	7678722
ScXIYn4_232;HRSCAF=374	000080F|arrow|arrow	7678722	12437563	-	15404555	20163396
ScXIYn4_600;HRSCAF=979	000080F|arrow|arrow	12437563	12480373	+	0	42810
ScXIYn4_30;HRSCAF=44	000084F|arrow|arrow	0	3306453	-	42878	3349331
ScXIYn4_768;HRSCAF=1191	000084F|arrow|arrow	3306453	11208421	-	17351197	25253165
ScXIYn4_124;HRSCAF=209	000091F|arrow|arrow	0	829446	+	0	829446
ScXIYn4_646;HRSCAF=1069	000091F|arrow|arrow	829446	10189506	-	55025	9415085
ScXIYn4_441;HRSCAF=724	000101F|arrow|arrow	0	1973310	+	0	1973310
ScXIYn4_624;HRSCAF=1033	000101F|arrow|arrow	1973310	9147707	+	0	7174397
ScXIYn4_614;HRSCAF=1015	000105F|arrow|arrow	0	3695878	+	681313	4377191
ScXIYn4_753;HRSCAF=1176	000105F|arrow|arrow	3695878	8533830	+	48057	4886009
ScXIYn4_733;HRSCAF=1156	000110F|arrow|arrow	0	94107	+	46971	141078
ScXIYn4_732;HRSCAF=1155	000110F|arrow|arrow	94107	915249	+	52466	873608
ScXIYn4_590;HRSCAF=955	000110F|arrow|arrow	915249	8196809	+	0	7281560
ScXIYn4_331;HRSCAF=541	000114F|arrow|arrow	0	544999	+	0	544999
ScXIYn4_612;HRSCAF=1009	000114F|arrow|arrow	544999	1761913	+	0	1216914
ScXIYn4_611;HRSCAF=1008	000114F|arrow|arrow	1761913	7001582	+	0	5239669
ScXIYn4_752;HRSCAF=1175	000114F|arrow|arrow	7001582	7760317	+	0	758735
ScXIYn4_610;HRSCAF=1006	000114F|arrow|arrow	7760317	7976888	+	0	216571
ScXIYn4_131;HRSCAF=217	000118F|arrow|arrow	0	3113277	+	0	3113277
ScXIYn4_595;HRSCAF=972	000118F|arrow|arrow	3113277	7443361	+	0	4330084
ScXIYn4_565;HRSCAF=911	000119F|arrow|arrow	0	1124148	-	0	1124148
ScXIYn4_603;HRSCAF=989	000119F|arrow|arrow	1124148	7384675	+	0	6260527
ScXIYn4_448;HRSCAF=731	000120F|arrow|arrow	0	6889952	-	0	6889952
ScXIYn4_225;HRSCAF=363	000120F|arrow|arrow	6889952	7041472	+	98286	249806
ScXIYn4_91;HRSCAF=154	000124F|arrow|arrow	0	2972242	+	0	2972242
ScXIYn4_658;HRSCAF=1081	000124F|arrow|arrow	2972242	6418067	+	36631	3482456
ScXIYn4_745;HRSCAF=1168	000125F|arrow|arrow	0	77217	+	0	77217
ScXIYn4_568;HRSCAF=915	000125F|arrow|arrow	77217	6465935	+	58891	6447609
ScXIYn4_532;HRSCAF=862	000129F|arrow|arrow	0	6141896	+	0	6141896
ScXIYn4_630;HRSCAF=1048	000129F|arrow|arrow	6141896	6289264	+	0	147368
ScXIYn4_543;HRSCAF=880	000132F|arrow|arrow	0	1269075	+	0	1269075
ScXIYn4_632;HRSCAF=1051	000132F|arrow|arrow	1269075	6061423	+	0	4792348
ScXIYn4_644;HRSCAF=1067	000133F|arrow|arrow	0	411638	+	0	411638
ScXIYn4_643;HRSCAF=1066	000133F|arrow|arrow	411638	4572743	+	0	4161105
ScXIYn4_642;HRSCAF=1065	000133F|arrow|arrow	4572743	6110809	+	56902	1594968
ScXIYn4_502;HRSCAF=810	000137F|arrow|arrow	0	313700	-	0	313700
ScXIYn4_718;HRSCAF=1141	000137F|arrow|arrow	313700	5888252	-	40622375	46196927
ScXIYn4_622;HRSCAF=1029	000146F|arrow|arrow	0	4909776	+	1296591	6206367
ScXIYn4_759;HRSCAF=1182	000146F|arrow|arrow	4909776	5313456	+	0	403680
ScXIYn4_320;HRSCAF=524	000149F|arrow|arrow	0	127771	+	0	127771
ScXIYn4_619;HRSCAF=1023	000149F|arrow|arrow	127771	4002009	-	0	3874238
ScXIYn4_662;HRSCAF=1085	000149F|arrow|arrow	4002009	4762824	-	0	760815
ScXIYn4_300;HRSCAF=493	000155F|arrow|arrow	0	237662	+	0	237662
ScXIYn4_608;HRSCAF=1001	000155F|arrow|arrow	237662	1105484	+	0	867822
ScXIYn4_751;HRSCAF=1174	000155F|arrow|arrow	1105484	1132085	+	0	26601
ScXIYn4_702;HRSCAF=1125	000155F|arrow|arrow	1132085	4483387	-	0	3351302
ScXIYn4_741;HRSCAF=1164	000161F|arrow|arrow	0	3081900	-	63673	3145573
ScXIYn4_742;HRSCAF=1165	000161F|arrow|arrow	3081900	4368005	-	16659105	17945210
ScXIYn4_35;HRSCAF=51	000168F|arrow|arrow	0	40102	+	88457	128559
ScXIYn4_640;HRSCAF=1063	000168F|arrow|arrow	40102	3885179	+	0	3845077
ScXIYn4_493;HRSCAF=795	000169F|arrow|arrow	0	734644	+	0	734644
ScXIYn4_693;HRSCAF=1116	000169F|arrow|arrow	734644	3923360	-	0	3188716
ScXIYn4_537;HRSCAF=868	000172F|arrow|arrow	0	214782	+	0	214782
ScXIYn4_631;HRSCAF=1049	000172F|arrow|arrow	214782	3534566	+	0	3319784
ScXIYn4_116;HRSCAF=196	000176F|arrow|arrow	0	366285	+	1483738	1850023
ScXIYn4_638;HRSCAF=1061	000176F|arrow|arrow	366285	3515200	-	0	3148915
ScXIYn4_529;HRSCAF=857	000180F|arrow|arrow	0	2872287	-	0	2872287
ScXIYn4_717;HRSCAF=1140	000180F|arrow|arrow	2872287	3084311	-	0	212024
ScXIYn4_398;HRSCAF=651	000181F|arrow|arrow	0	211568	+	0	211568
ScXIYn4_618;HRSCAF=1022	000181F|arrow|arrow	211568	319651	+	0	108083
ScXIYn4_617;HRSCAF=1021	000181F|arrow|arrow	319651	1803660	+	0	1484009
ScXIYn4_616;HRSCAF=1020	000181F|arrow|arrow	1803660	3039317	+	0	1235657
ScXIYn4_147;HRSCAF=242	000196F|arrow|arrow	0	2137580	+	0	2137580
ScXIYn4_722;HRSCAF=1145	000196F|arrow|arrow	2137580	2447419	-	0	309839
ScXIYn4_743;HRSCAF=1166	000197F|arrow|arrow	0	2177460	+	166977	2344437
ScXIYn4_601;HRSCAF=981	000197F|arrow|arrow	2177460	2312514	+	48707	183761
ScXIYn4_6;HRSCAF=6	000198F|arrow|arrow	0	856199	-	90581	946780
ScXIYn4_703;HRSCAF=1126	000198F|arrow|arrow	856199	2378616	-	0	1522417
ScXIYn4_354;HRSCAF=587	000213F|arrow|arrow	0	1692383	+	0	1692383
ScXIYn4_694;HRSCAF=1117	000213F|arrow|arrow	1692383	2102991	-	0	410608
ScXIYn4_483;HRSCAF=781	000223F|arrow|arrow	0	1695964	+	0	1695964
ScXIYn4_626;HRSCAF=1037	000223F|arrow|arrow	1695964	1893603	+	0	197639
ScXIYn4_565;HRSCAF=911	000234F|arrow|arrow	0	952060	+	1125148	2077208
ScXIYn4_744;HRSCAF=1167	000234F|arrow|arrow	952060	1479335	+	0	527275
ScXIYn4_518;HRSCAF=837	000241F|arrow|arrow	0	1383267	+	0	1383267
ScXIYn4_764;HRSCAF=1187	000241F|arrow|arrow	1383267	1456510	+	537330	610573
ScXIYn4_289;HRSCAF=480	000246F|arrow|arrow	0	1314806	+	0	1314806
ScXIYn4_692;HRSCAF=1115	000246F|arrow|arrow	1314806	1374697	+	0	59891
ScXIYn4_157;HRSCAF=257	000248F|arrow|arrow	0	259767	+	0	259767
ScXIYn4_599;HRSCAF=978	000248F|arrow|arrow	259767	1116969	+	0	857202
ScXIYn4_747;HRSCAF=1170	000248F|arrow|arrow	1116969	1369449	+	0	252480
ScXIYn4_87;HRSCAF=145	000249F|arrow|arrow	0	577507	+	0	577507
ScXIYn4_593;HRSCAF=963	000249F|arrow|arrow	577507	974171	+	42035	438699
ScXIYn4_439;HRSCAF=721	000249F|arrow|arrow	974171	1326395	-	459120	811344
ScXIYn4_762;HRSCAF=1185	000251F|arrow|arrow	0	149980	-	37802	187782
ScXIYn4_763;HRSCAF=1186	000251F|arrow|arrow	149980	1247986	-	3563588	4661594
ScXIYn4_607;HRSCAF=997	000261F|arrow|arrow	0	569201	-	0	569201
ScXIYn4_682;HRSCAF=1105	000261F|arrow|arrow	569201	1053708	+	0	484507
ScXIYn4_757;HRSCAF=1180	000261F|arrow|arrow	1053708	1136892	+	0	83184
ScXIYn4_737;HRSCAF=1160	000265F|arrow|arrow	0	902406	-	70974	973380
ScXIYn4_422;HRSCAF=689	000265F|arrow|arrow	902406	1078030	+	0	175624
ScXIYn4_71;HRSCAF=122	000268F|arrow|arrow	0	586954	+	0	586954
ScXIYn4_592;HRSCAF=961	000268F|arrow|arrow	586954	798003	+	0	211049
ScXIYn4_591;HRSCAF=960	000268F|arrow|arrow	798003	981063	+	0	183060
ScXIYn4_376;HRSCAF=621	000276F|arrow|arrow	0	124730	+	0	124730
ScXIYn4_601;HRSCAF=981	000276F|arrow|arrow	124730	725048	-	184761	785079
ScXIYn4_635;HRSCAF=1058	000277F|arrow|arrow	0	181034	-	0	181034
ScXIYn4_636;HRSCAF=1059	000277F|arrow|arrow	181034	221039	-	0	40005
ScXIYn4_50;HRSCAF=79	000277F|arrow|arrow	221039	837062	-	8447658	9063681
ScXIYn4_160;HRSCAF=260	000281F|arrow|arrow	0	264984	+	8100286	8365270
ScXIYn4_664;HRSCAF=1087	000281F|arrow|arrow	264984	779398	+	71643	586057
ScXIYn4_673;HRSCAF=1096	000290F|arrow|arrow	0	77483	+	0	77483
ScXIYn4_673;HRSCAF=1096	000290F|arrow|arrow	77483	623924	+	101413	647854
ScXIYn4_764;HRSCAF=1187	000295F|arrow|arrow	0	536330	-	0	536330
ScXIYn4_628;HRSCAF=1043	000295F|arrow|arrow	536330	590973	-	67537	122180
ScXIYn4_153;HRSCAF=250	000301F|arrow|arrow	0	144889	+	0	144889
ScXIYn4_598;HRSCAF=976	000301F|arrow|arrow	144889	493130	+	0	348241
ScXIYn4_711;HRSCAF=1134	000302F|arrow|arrow	0	149446	+	184447	333893
ScXIYn4_623;HRSCAF=1030	000302F|arrow|arrow	149446	451634	+	0	302188
ScXIYn4_249;HRSCAF=406	000306F|arrow|arrow	0	272745	+	0	272745
ScXIYn4_604;HRSCAF=991	000306F|arrow|arrow	272745	406894	+	0	134149
ScXIYn4_680;HRSCAF=1103	000311F|arrow|arrow	0	127908	+	0	127908
ScXIYn4_633;HRSCAF=1056	000311F|arrow|arrow	127908	347201	+	0	219293
ScXIYn4_193;HRSCAF=311	000315F|arrow|arrow	0	41314	+	82516	123830
ScXIYn4_750;HRSCAF=1173	000315F|arrow|arrow	41314	152622	+	0	111308
ScXIYn4_606;HRSCAF=996	000315F|arrow|arrow	152622	319540	+	0	166918
ScXIYn4_577;HRSCAF=928	000319F|arrow|arrow	0	62937	+	0	62937
ScXIYn4_751;HRSCAF=1174	000319F|arrow|arrow	62937	318131	+	27601	282795
ScXIYn4_319;HRSCAF=522	000325F|arrow|arrow	0	70557	+	0	70557
ScXIYn4_609;HRSCAF=1003	000325F|arrow|arrow	70557	300753	+	73960	304156
ScXIYn4_243;HRSCAF=393	000326F|arrow|arrow	0	194974	+	130665	325639
ScXIYn4_594;HRSCAF=967	000326F|arrow|arrow	194974	287957	+	0	92983
ScXIYn4_150;HRSCAF=246	000329F|arrow|arrow	0	118400	+	0	118400
ScXIYn4_597;HRSCAF=975	000329F|arrow|arrow	118400	276799	+	0	158399
ScXIYn4_630;HRSCAF=1048	000340F|arrow|arrow	0	89878	+	148368	238246
ScXIYn4_234;HRSCAF=377	000340F|arrow|arrow	89878	233326	-	329160	472608
ScXIYn4_285;HRSCAF=474	000348F|arrow|arrow	0	110596	-	0	110596
ScXIYn4_154;HRSCAF=252	000348F|arrow|arrow	110596	199662	+	191325	280391
ScXIYn4_381;HRSCAF=629	000352F|arrow|arrow	0	79435	+	0	79435
ScXIYn4_755;HRSCAF=1178	000352F|arrow|arrow	79435	202651	+	0	123216
ScXIYn4_738;HRSCAF=1161	000357F|arrow|arrow	0	101314	+	0	101314
ScXIYn4_737;HRSCAF=1160	000357F|arrow|arrow	101314	171288	+	0	69974
ScXIYn4_24;HRSCAF=33	000359F|arrow|arrow	0	138566	+	0	138566
ScXIYn4_150;HRSCAF=246	000359F|arrow|arrow	138566	191420	-	119400	172254
ScXIYn4_52;HRSCAF=81	000430F|arrow|arrow	0	38216	+	977800	1016016
ScXIYn4_629;HRSCAF=1045	000430F|arrow|arrow	38216	108619	+	46362	116765
ScXIYn4_335;HRSCAF=545	000513F|arrow|arrow	0	41562	+	179626	221188
ScXIYn4_699;HRSCAF=1122	000513F|arrow|arrow	41562	83566	+	0	42004
